true\pred,frogs,bats,birds,insects,mammals,negative,unknown
frogs,,,,,,,
bats,,,,,,,
birds,,,,,,,
insects,,,,,,,
mammals,,,,,,,
negative,,,,,,,
unknown,,,,,,,
